TIP_DATETIME,ORIGIN,MASS,TRUCK_ID,ROCKY_RATIO
2024-07-24T00:05:30.000000,ZONE14,220.6,DT26,4.05
2024-07-24T00:08:30.000000,ZONE14,235.6,DT31,4.016
2024-07-24T00:12:30.000000,ZONE5,252.8,DT5,2.268
2024-07-24T00:21:30.000000,ZONE5,244.5,DT19,2.292
2024-07-24T00:24:30.000000,ZONE14,230.7,DT3,4.069
2024-07-24T00:27:30.000000,ZONE5,252.7,DT26,2.23
2024-07-24T00:37:30.000000,ZONE5,245,DT5,2.28
2024-07-24T00:40:30.000000,ZONE24,239.9,DT27,1.012
2024-07-24T00:44:30.000000,ZONE5,239.5,DT26,2.287
2024-07-24T00:47:30.000000,ZONE24,247.7,DT16,1.055
2024-07-24T00:52:30.000000,ZONE5,264.6,DT5,2.229
2024-07-24T00:56:30.000000,ZONE24,256.3,DT24,1.062
2024-07-24T04:03:30.000000,ZONE25,245.9,DT8,1.06
2024-07-24T04:07:30.000000,ZONE26,237.9,DT23,1.085
2024-07-24T04:15:30.000000,ZONE24,229.9,DT16,1.068
2024-07-24T04:19:30.000000,ZONE5,250.7,DT8,2.129
2024-07-24T04:22:30.000000,ZONE14,221.5,DT12,4.032
2024-07-24T04:26:30.000000,ZONE14,234.5,DT20,4.056
2024-07-24T04:29:30.000000,ZONE14,238.4,DT31,4.089
2024-07-24T04:33:30.000000,ZONE5,260.899,DT16,2.183
2024-07-24T04:54:30.000000,ZONE14,251.2,DT21,4.04
2024-07-24T04:58:30.000000,ZONE5,232.9,DT16,2.158
2024-07-24T05:05:30.000000,ZONE5,260.2,DT21,2.219
2024-07-24T05:12:30.000000,ZONE24,235,DT13,1.011
2024-07-24T05:16:30.000000,ZONE5,244.1,DT16,2.173
2024-07-24T05:20:30.000000,ZONE14,240.9,DT6,4.063
2024-07-24T05:24:30.000000,ZONE5,241.3,DT13,2.189
2024-07-24T05:27:30.000000,ZONE14,241.9,DT23,4.057
2024-07-24T05:31:30.000000,ZONE5,248,DT16,2.218
2024-07-24T05:35:30.000000,ZONE14,256.9,DT8,4.091
2024-07-24T05:39:30.000000,ZONE14,246.4,DT22,4.041
2024-07-24T05:47:30.000000,ZONE14,242.5,DT9,4.037
2024-07-24T05:50:30.000000,ZONE5,245,DT16,2.186
2024-07-24T05:54:30.000000,ZONE14,231.4,DT30,4.051
2024-07-24T06:11:30.000000,ZONE5,260.8,DT16,2.276
2024-07-24T06:15:30.000000,ZONE25,236.3,DT10,1.02
2024-07-24T06:25:30.000000,ZONE5,247.5,DT16,2.261
2024-07-24T06:28:30.000000,ZONE25,245,DT13,1.086
2024-07-24T06:32:30.000000,ZONE14,243.4,DT19,4.011
2024-07-24T06:36:30.000000,ZONE25,258.3,DT30,1.024
2024-07-24T06:40:30.000000,ZONE25,229.4,DT31,1.039
2024-07-24T06:43:30.000000,ZONE5,251.8,DT16,2.232
2024-07-24T06:47:30.000000,ZONE25,246.2,DT21,1.051
2024-07-24T06:51:30.000000,ZONE5,266.5,DT19,2.283
2024-07-24T06:55:30.000000,ZONE25,233.4,DT1,1.067
2024-07-24T06:59:30.000000,ZONE5,258,DT16,2.231
2024-07-24T07:03:30.000000,ZONE25,252.5,DT2,1.063
2024-07-24T07:07:30.000000,ZONE5,259.3,DT19,2.234
2024-07-24T07:11:30.000000,ZONE5,245.2,DT16,2.292
2024-07-24T07:15:30.000000,ZONE25,230.1,DT7,1.053
2024-07-24T07:19:30.000000,ZONE25,232.7,DT8,1.053
2024-07-24T07:23:30.000000,ZONE25,224,DT10,1.081
2024-07-24T07:26:30.000000,ZONE5,252,DT16,2.292
2024-07-24T07:37:30.000000,ZONE7,269.4,DT24,2.04
2024-07-24T07:40:30.000000,ZONE5,248,DT16,2.268
2024-07-24T07:44:30.000000,ZONE25,240.7,DT27,1.081
2024-07-24T07:48:30.000000,ZONE7,242.7,DT23,2.011
2024-07-24T07:52:30.000000,ZONE25,236.4,DT12,1.057
2024-07-24T07:56:30.000000,ZONE5,260.8,DT16,2.26
2024-07-24T08:04:30.000000,ZONE25,231.9,DT6,1.018
2024-07-24T08:07:30.000000,ZONE25,242.4,DT9,1.058
2024-07-24T08:11:30.000000,ZONE5,246.9,DT16,2.274
2024-07-24T08:15:30.000000,ZONE25,233.8,DT25,1.02
2024-07-24T08:22:30.000000,ZONE25,239.9,DT27,1.072
2024-07-24T08:24:30.000000,ZONE5,259.9,DT16,2.28
2024-07-24T08:28:30.000000,ZONE25,242.6,DT28,1.018
2024-07-24T08:34:30.000000,ZONE25,231.4,DT31,1.059
2024-07-24T08:37:30.000000,ZONE5,259.7,DT16,2.315
2024-07-24T08:44:30.000000,ZONE25,226.4,DT24,1.025
2024-07-24T08:50:30.000000,ZONE5,248.9,DT16,2.248
2024-07-24T08:57:30.000000,ZONE25,227.8,DT27,1.094
2024-07-24T09:00:30.000000,ZONE25,237.2,DT15,1.067
2024-07-24T09:04:30.000000,ZONE5,259,DT16,2.309
2024-07-24T09:07:30.000000,ZONE25,234.6,DT22,1.071
2024-07-24T09:19:30.000000,ZONE25,236.4,DT30,1.072
2024-07-24T09:28:30.000000,ZONE5,255,DT16,2.3
2024-07-24T09:33:30.000000,ZONE25,235.2,DT10,1.054
2024-07-24T09:39:30.000000,ZONE7,258.1,DT11,2.017
