AREA,LOCATION,EVENT_START,EVENT_END,LENGTH
Primary Crushing - B,Grizzly,2024-07-24T00:34:05.000000,2024-07-24T00:40:26.000000,381.0
Primary Crushing - B,Crusher,2024-07-24T01:08:05.000000,2024-07-24T01:18:26.000000,621.0
Primary Crushing - B,Crusher,2024-07-24T02:48:05.000000,2024-07-24T03:08:26.000000,458.41143062
Primary Crushing - B,Grizzly,2024-07-24T03:27:05.000000,2024-07-24T03:34:26.000000,441.0
Primary Crushing - B,Grizzly,2024-07-24T04:00:05.000000,2024-07-24T04:18:26.000000,1101.0
Primary Crushing - A,Grizzly,2024-07-24T04:30:05.000000,2024-07-24T04:38:26.000000,501.0
Primary Crushing - A,Grizzly,2024-07-24T05:01:05.000000,2024-07-24T05:11:26.000000,621.0
Primary Crushing - B,Grizzly,2024-07-24T05:40:05.000000,2024-07-24T06:01:26.000000,1281.0
Primary Crushing - A,Grizzly,2024-07-24T05:44:05.000000,2024-07-24T06:04:26.000000,1221.0
Primary Crushing - B,Grizzly,2024-07-24T06:14:05.000000,2024-07-24T06:28:26.000000,861.0
Primary Crushing - A,Grizzly,2024-07-24T06:36:05.000000,2024-07-24T06:45:26.000000,561.0
Primary Crushing - B,Grizzly,2024-07-24T06:55:05.000000,2024-07-24T07:04:26.000000,561.0
Primary Crushing - B,Crusher,2024-07-24T07:02:05.000000,2024-07-24T07:21:26.000000,1161.0
Primary Crushing - B,Grizzly,2024-07-24T07:37:05.000000,2024-07-24T07:46:26.000000,561.0
Primary Crushing - B,Crusher,2024-07-24T07:51:05.000000,2024-07-24T08:00:26.000000,561.0
Primary Crushing - B,Grizzly,2024-07-24T08:17:05.000000,2024-07-24T08:23:26.000000,381.0
Primary Crushing - B,Grizzly,2024-07-24T08:33:05.000000,2024-07-24T08:38:26.000000,321.0
Primary Crushing - A,Grizzly,2024-07-24T12:22:05.000000,2024-07-24T12:32:26.000000,621.0
Primary Crushing - B,Crusher,2024-07-24T12:32:05.000000,2024-07-24T12:50:26.000000,1101.0
Primary Crushing - A,Grizzly,2024-07-24T12:53:05.000000,2024-07-24T13:02:26.000000,561.0
Primary Crushing - B,Crusher,2024-07-24T13:02:05.000000,2024-07-24T13:10:26.000000,501.0
Primary Crushing - A,Grizzly,2024-07-24T14:13:05.000000,2024-07-24T14:20:26.000000,441.0
Primary Crushing - B,Grizzly,2024-07-24T17:11:05.000000,2024-07-24T17:20:26.000000,561.0
Primary Crushing - B,Crusher,2024-07-24T17:35:05.000000,2024-07-24T17:52:26.000000,1041.0
Primary Crushing - B,Grizzly,2024-07-24T18:50:05.000000,2024-07-24T19:02:26.000000,741.0
Primary Crushing - A,Grizzly,2024-07-24T19:09:05.000000,2024-07-24T19:18:26.000000,561.0
Primary Crushing - B,Grizzly,2024-07-25T01:10:05.000000,2024-07-25T01:16:26.000000,381.0
Primary Crushing - B,Crusher,2024-07-25T02:59:05.000000,2024-07-25T03:09:26.000000,621.0
Primary Crushing - B,Grizzly,2024-07-25T03:27:05.000000,2024-07-25T03:32:26.000000,321.0
Primary Crushing - B,Crusher,2024-07-25T04:02:05.000000,2024-07-25T04:07:26.000000,321.0
Primary Crushing - B,Crusher,2024-07-25T04:59:05.000000,2024-07-25T05:12:26.000000,801.0
Primary Crushing - B,Grizzly,2024-07-25T06:01:05.000000,2024-07-25T06:35:26.000000,2061.0
Primary Crushing - B,Crusher,2024-07-25T06:37:05.000000,2024-07-25T06:43:26.000000,332.37910215069763
Primary Crushing - B,Grizzly,2024-07-25T06:41:05.000000,2024-07-25T07:04:26.000000,1401.0
Primary Crushing - B,Crusher,2024-07-25T07:02:05.000000,2024-07-25T07:17:26.000000,921.0
Primary Crushing - B,Grizzly,2024-07-25T10:07:05.000000,2024-07-25T10:16:26.000000,561.0
Primary Crushing - A,Grizzly,2024-07-25T10:08:05.000000,2024-07-25T10:13:26.000000,29.340360081818183
Primary Crushing - B,Grizzly,2024-07-25T13:22:05.000000,2024-07-25T13:33:26.000000,681.0
Primary Crushing - B,Grizzly,2024-07-25T14:11:05.000000,2024-07-25T14:20:26.000000,561.0
Primary Crushing - B,Grizzly,2024-07-25T15:03:05.000000,2024-07-25T15:25:26.000000,1341.0
Primary Crushing - A,Grizzly,2024-07-25T16:50:05.000000,2024-07-25T16:59:26.000000,561.0
Primary Crushing - A,Crusher,2024-07-25T16:57:05.000000,2024-07-25T17:19:26.000000,1341.0
Primary Crushing - A,Grizzly,2024-07-25T18:36:05.000000,2024-07-25T18:49:26.000000,801.0
Primary Crushing - B,Crusher,2024-07-25T19:13:05.000000,2024-07-25T19:21:26.000000,501.0
Primary Crushing - A,Grizzly,2024-07-25T19:44:05.000000,2024-07-25T19:59:26.000000,921.0
Primary Crushing - A,Crusher,2024-07-25T20:18:05.000000,2024-07-25T20:33:26.000000,921.0
Primary Crushing - B,Grizzly,2024-07-25T20:28:05.000000,2024-07-25T20:37:26.000000,561.0
Primary Crushing - B,Crusher,2024-07-25T21:12:05.000000,2024-07-25T21:22:26.000000,621.0
Primary Crushing - B,Crusher,2024-07-25T21:47:05.000000,2024-07-25T21:52:26.000000,321.0
Primary Crushing - B,Grizzly,2024-07-26T00:14:05.000000,2024-07-26T00:28:26.000000,861.0
Primary Crushing - B,Crusher,2024-07-26T00:43:05.000000,2024-07-26T00:58:26.000000,582.468337268625
Primary Crushing - A,Grizzly,2024-07-26T01:59:05.000000,2024-07-26T02:11:26.000000,741.0
Primary Crushing - B,Crusher,2024-07-26T06:42:05.000000,2024-07-26T06:51:26.000000,561.0
Primary Crushing - B,Crusher,2024-07-26T07:02:05.000000,2024-07-26T07:11:26.000000,561.0
Primary Crushing - B,Grizzly,2024-07-26T07:20:05.000000,2024-07-26T07:28:26.000000,501.0
Primary Crushing - B,Crusher,2024-07-26T07:26:05.000000,2024-07-26T07:34:26.000000,501.0
Primary Crushing - B,Grizzly,2024-07-26T08:33:05.000000,2024-07-26T08:39:26.000000,381.0
Primary Crushing - B,Grizzly,2024-07-26T09:05:05.000000,2024-07-26T09:11:26.000000,381.0
Primary Crushing - A,Crusher,2024-07-26T09:14:05.000000,2024-07-26T09:23:26.000000,561.0
Primary Crushing - A,Crusher,2024-07-26T09:25:05.000000,2024-07-26T10:07:26.000000,2541.0
Primary Crushing - B,Crusher,2024-07-26T10:39:05.000000,2024-07-26T10:45:26.000000,381.0
Primary Crushing - B,Grizzly,2024-07-26T10:51:05.000000,2024-07-26T10:57:26.000000,381.0
Primary Crushing - A,Crusher,2024-07-26T11:00:05.000000,2024-07-26T11:14:26.000000,861.0
Primary Crushing - B,Crusher,2024-07-26T11:20:05.000000,2024-07-26T11:27:26.000000,441.0
Primary Crushing - A,Crusher,2024-07-26T11:32:05.000000,2024-07-26T11:40:26.000000,501.0
Primary Crushing - B,Grizzly,2024-07-26T12:44:05.000000,2024-07-26T12:51:26.000000,441.0
Primary Crushing - A,Crusher,2024-07-26T13:04:05.000000,2024-07-26T13:13:26.000000,561.0
Primary Crushing - B,Grizzly,2024-07-26T13:05:05.000000,2024-07-26T13:15:26.000000,621.0
Primary Crushing - A,Crusher,2024-07-26T13:23:05.000000,2024-07-26T13:44:26.000000,463.9047638976106
Primary Crushing - B,Grizzly,2024-07-26T13:25:05.000000,2024-07-26T13:48:26.000000,753.40677300216
Primary Crushing - A,Crusher,2024-07-26T13:42:05.000000,2024-07-26T13:49:26.000000,441.0
Primary Crushing - B,Grizzly,2024-07-26T13:46:05.000000,2024-07-26T13:54:26.000000,501.0
Primary Crushing - B,Grizzly,2024-07-26T14:47:05.000000,2024-07-26T14:52:26.000000,321.0
Primary Crushing - A,Crusher,2024-07-26T15:00:05.000000,2024-07-26T15:10:26.000000,621.0
Primary Crushing - B,Grizzly,2024-07-26T15:12:05.000000,2024-07-26T15:27:26.000000,921.0
Primary Crushing - B,Crusher,2024-07-26T15:28:05.000000,2024-07-26T15:34:26.000000,381.0
Primary Crushing - B,Grizzly,2024-07-26T16:55:05.000000,2024-07-26T17:06:26.000000,681.0
Primary Crushing - B,Grizzly,2024-07-26T17:32:05.000000,2024-07-26T17:37:26.000000,321.0
